OPEN,-1.04E-05,-9.94E-06,-1.39E-05,-1.95E-05,-4.33E-06,-8.46E-06,3.10E-06,-6.73E-06,-9.49E-06,-1.12E-05,-1.25E-05,-6.23E-06,8.88E-06,2.82E-06,-2.37E-06,-9.46E-06
CLOSE,2.54E-05,2.68E-05,3.06E-05,3.07E-05,3.17E-05,1.16E-05,2.36E-05,1.95E-05,2.41E-05,2.96E-05,2.47E-05,2.12E-05,1.77E-05,2.42E-05,1.81E-05,1.37E-05
OPEN,8.36E-06,1.20E-05,1.55E-05,1.34E-05,7.13E-06,7.35E-06,2.17E-06,6.10E-06,6.10E-06,7.80E-06,9.11E-06,5.93E-06,9.65E-08,6.09E-06,-2.77E-06,-7.48E-06
REST,1.22E-06,6.76E-07,1.51E-06,1.19E-06,1.06E-06,-5.87E-08,3.80E-07,7.28E-07,1.33E-06,1.07E-06,9.12E-07,5.59E-07,9.18E-07,1.73E-06,9.16E-07,1.19E-06
CLOSE,-5.27E-06,-4.21E-06,-3.95E-06,-7.90E-06,-1.29E-05,-6.78E-06,-7.03E-06,-9.20E-06,-5.57E-06,-5.95E-06,-9.75E-06,-6.86E-06,-1.52E-05,-5.73E-06,-7.10E-06,-7.59E-06
OPEN,2.35E-06,3.40E-06,8.56E-06,2.21E-05,4.11E-06,7.08E-06,4.81E-06,1.77E-06,5.76E-06,6.64E-06,1.35E-05,2.84E-07,-3.16E-06,6.66E-06,5.10E-06,9.20E-06
CLOSE,1.85E-05,1.38E-05,7.74E-06,-1.59E-06,-1.24E-05,3.38E-05,1.83E-05,1.51E-05,1.80E-05,1.27E-05,9.34E-06,5.47E-07,5.88E-06,2.14E-05,2.01E-05,2.77E-05
REST,2.87E-06,2.63E-06,2.67E-06,1.87E-06,7.13E-07,3.92E-06,4.31E-06,2.92E-06,2.81E-06,1.56E-06,2.25E-06,1.15E-06,7.94E-07,-8.12E-07,-4.48E-07,2.49E-06
OPEN,-2.10E-05,-2.24E-05,-3.71E-05,-4.89E-05,-1.74E-05,-1.83E-05,-8.55E-06,-1.52E-05,-2.19E-05,-2.01E-05,-1.62E-05,1.70E-06,-9.90E-06,-1.43E-05,-3.07E-05,-3.75E-05
CLOSE,-1.46E-05,-1.16E-05,-1.14E-05,-5.67E-06,9.87E-06,-9.48E-06,-2.50E-05,-3.63E-05,-6.89E-06,-3.75E-06,-1.43E-08,8.26E-06,1.55E-05,-9.03E-06,-1.43E-05,-8.88E-06
OPEN,-1.33E-05,-1.05E-05,-1.98E-05,-2.62E-05,-1.40E-05,-3.80E-05,-6.39E-05,-2.88E-05,-2.04E-05,-1.38E-05,-1.12E-05,-1.55E-05,-2.37E-05,-3.54E-05,-4.79E-05,-4.09E-05
CLOSE,-2.40E-06,-1.30E-06,5.73E-07,9.30E-07,6.10E-06,3.71E-06,4.98E-06,4.95E-06,-7.66E-06,-2.99E-06,-4.56E-06,4.48E-07,5.02E-06,-2.02E-06,-8.56E-06,-1.63E-05
REST,-2.25E-07,-1.10E-06,-3.37E-07,-1.06E-06,-1.61E-06,-3.87E-07,-1.38E-06,-2.90E-07,-6.33E-07,-2.50E-07,-1.06E-06,-5.17E-07,-2.79E-07,-2.65E-07,-6.39E-07,-1.05E-06